0.10,3675,231,135,163,150,155,155,0.5844,0.7056,0.6494,0.6710,0.6710
0.20,5613,231,130,162,146,159,157,0.5628,0.7013,0.6320,0.6883,0.6797
0.30,6493,231,127,163,146,152,151,0.5498,0.7056,0.6320,0.6580,0.6537
0.40,8014,231,115,160,149,158,152,0.4978,0.6926,0.6450,0.6840,0.6580
0.50,9175,231,115,161,153,159,155,0.4978,0.6970,0.6623,0.6883,0.6710
0.60,9722,231,112,160,144,156,149,0.4848,0.6926,0.6234,0.6753,0.6450
0.70,10830,231,106,160,144,160,153,0.4589,0.6926,0.6234,0.6926,0.6623
0.80,11299,231,105,162,149,159,154,0.4545,0.7013,0.6450,0.6883,0.6667
0.90,12141,231,100,159,147,158,152,0.4329,0.6883,0.6364,0.6840,0.6580
1.00,12772,231,100,159,143,159,153,0.4329,0.6883,0.6190,0.6883,0.6623
