0.10,500,231,152,175,150,159,170,0.6580,0.7576,0.6494,0.6883,0.7359
0.20,500,231,156,172,151,160,168,0.6753,0.7446,0.6537,0.6926,0.7273
0.30,500,231,155,168,149,158,167,0.6710,0.7273,0.6450,0.6840,0.7229
0.40,500,231,154,167,149,152,165,0.6667,0.7229,0.6450,0.6580,0.7143
0.50,500,231,156,166,146,151,165,0.6753,0.7186,0.6320,0.6537,0.7143
0.60,500,231,155,166,146,149,165,0.6710,0.7186,0.6320,0.6450,0.7143
0.70,500,231,153,166,149,155,167,0.6623,0.7186,0.6450,0.6710,0.7229
0.80,500,231,155,168,147,150,168,0.6710,0.7273,0.6364,0.6494,0.7273
0.90,500,231,155,168,146,151,166,0.6710,0.7273,0.6320,0.6537,0.7186
1.00,500,231,155,168,144,151,168,0.6710,0.7273,0.6234,0.6537,0.7273
