0.10,3675,231,135,172,150,150,163,0.5844,0.7446,0.6494,0.6494,0.7056
0.20,5613,231,130,171,150,152,163,0.5628,0.7403,0.6494,0.6580,0.7056
0.30,6493,231,127,169,150,150,159,0.5498,0.7316,0.6494,0.6494,0.6883
0.40,8014,231,115,170,151,151,159,0.4978,0.7359,0.6537,0.6537,0.6883
0.50,9175,231,115,170,151,151,162,0.4978,0.7359,0.6537,0.6537,0.7013
0.60,9722,231,112,168,147,152,159,0.4848,0.7273,0.6364,0.6580,0.6883
0.70,10830,231,106,170,146,151,160,0.4589,0.7359,0.6320,0.6537,0.6926
0.80,11299,231,105,170,146,150,159,0.4545,0.7359,0.6320,0.6494,0.6883
0.90,12141,231,100,170,148,151,159,0.4329,0.7359,0.6407,0.6537,0.6883
1.00,12772,231,100,170,144,150,159,0.4329,0.7359,0.6234,0.6494,0.6883
