0.25,32,231,109,112,107,111,113,0.4719,0.4848,0.4632,0.4805,0.4892
0.50,64,231,129,140,122,138,140,0.5584,0.6061,0.5281,0.5974,0.6061
0.75,96,231,143,151,128,138,149,0.6190,0.6537,0.5541,0.5974,0.6450
1.00,128,231,155,153,139,145,157,0.6710,0.6623,0.6017,0.6277,0.6797
2.00,255,231,163,165,142,162,163,0.7056,0.7143,0.6147,0.7013,0.7056
4.00,511,231,156,168,145,154,167,0.6753,0.7273,0.6277,0.6667,0.7229
8.00,1022,231,149,171,149,158,168,0.6450,0.7403,0.6450,0.6840,0.7273
16.00,2044,231,150,171,150,160,169,0.6494,0.7403,0.6494,0.6926,0.7316
32.00,4087,231,131,165,146,160,165,0.5671,0.7143,0.6320,0.6926,0.7143
64.00,8174,231,109,158,145,165,152,0.4719,0.6840,0.6277,0.7143,0.6580
100.00,12772,231,100,154,147,165,151,0.4329,0.6667,0.6364,0.7143,0.6537
