0.25,32,231,109,111,110,112,115,0.4719,0.4805,0.4762,0.4848,0.4978
0.50,64,231,129,138,121,141,137,0.5584,0.5974,0.5238,0.6104,0.5931
0.75,96,231,143,146,131,144,149,0.6190,0.6320,0.5671,0.6234,0.6450
1.00,128,231,155,148,140,151,152,0.6710,0.6407,0.6061,0.6537,0.6580
2.00,255,231,163,156,145,162,160,0.7056,0.6753,0.6277,0.7013,0.6926
4.00,511,231,156,160,146,167,166,0.6753,0.6926,0.6320,0.7229,0.7186
8.00,1022,231,149,161,151,169,166,0.6450,0.6970,0.6537,0.7316,0.7186
16.00,2044,231,150,149,150,172,163,0.6494,0.6450,0.6494,0.7446,0.7056
32.00,4087,231,131,130,149,169,152,0.5671,0.5628,0.6450,0.7316,0.6580
64.00,8174,231,109,120,145,170,135,0.4719,0.5195,0.6277,0.7359,0.5844
100.00,12772,231,100,117,152,170,133,0.4329,0.5065,0.6580,0.7359,0.5758
