0.10,500,231,152,171,152,140,165,0.6580,0.7403,0.6580,0.6061,0.7143
0.20,500,231,156,169,151,135,161,0.6753,0.7316,0.6537,0.5844,0.6970
0.30,500,231,155,172,151,130,162,0.6710,0.7446,0.6537,0.5628,0.7013
0.40,500,231,154,168,153,131,160,0.6667,0.7273,0.6623,0.5671,0.6926
0.50,500,231,156,170,151,134,163,0.6753,0.7359,0.6537,0.5801,0.7056
0.60,500,231,155,171,148,133,164,0.6710,0.7403,0.6407,0.5758,0.7100
0.70,500,231,153,171,150,133,165,0.6623,0.7403,0.6494,0.5758,0.7143
0.80,500,231,155,171,148,133,167,0.6710,0.7403,0.6407,0.5758,0.7229
0.90,500,231,155,171,150,133,168,0.6710,0.7403,0.6494,0.5758,0.7273
1.00,500,231,155,172,148,133,168,0.6710,0.7446,0.6407,0.5758,0.7273
